,MAP_ID,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,RED,BLUE,G,BRN,P,Y,Pnk,O,Location
9657,40880,Thorndale,09/01/2006,3054.1,1972.4,1449.4,78190,True,False,False,False,False,False,False,False,"(41.990259, -87.659076)"
9658,41380,Bryn Mawr,09/01/2006,4860.0,3327.0,2367.8,125673,True,False,False,False,False,False,False,False,"(41.983504, -87.65884)"
9659,40340,Berwyn,09/01/2006,3602.5,2670.4,1906.2,94932,True,False,False,False,False,False,False,False,"(41.977984, -87.658668)"
9660,41200,Argyle,09/01/2006,2726.1,2014.4,1482.8,72008,True,False,False,False,False,False,False,False,"(41.973453, -87.65853)"
9661,40770,Lawrence,09/01/2006,3295.0,2592.0,1778.8,87754,True,False,False,False,False,False,False,False,"(41.969139, -87.658493)"
9662,40540,Wilson,09/01/2006,5933.4,3699.6,2359.4,148963,True,False,False,False,False,False,False,False,"(41.964273, -87.657588)"
9663,40080,Sheridan,09/01/2006,5088.6,3614.4,2540.4,132545,True,False,False,False,False,False,False,False,"(41.953775, -87.654929)"
9664,41420,Addison-North Main,09/01/2006,8761.2,9382.0,7217.2,258219,True,False,False,False,False,False,False,False,"(41.947428, -87.653626)"
9665,41320,Belmont-North Main,09/01/2006,10932.0,10063.2,7012.6,304018,False,False,False,True,False,False,False,False,"(41.939751, -87.65338)"
9666,41220,Fullerton,09/01/2006,13618.2,8767.2,6042.8,346413,True,False,False,False,False,False,False,False,"(41.925051, -87.652866)"
9667,40650,North/Clybourn,09/01/2006,4573.0,4136.0,3059.8,127438,True,False,False,False,False,False,False,False,"(41.910655, -87.649177)"
9668,40630,Clark/Division,09/01/2006,7674.7,6417.0,4746.8,209312,True,False,False,False,False,False,False,False,"(41.90392, -87.631412)"
9669,41450,Chicago/State,09/01/2006,15233.2,13172.4,9221.2,416632,True,False,False,False,False,False,False,False,"(41.896671, -87.628176)"
9670,40330,Grand/State,09/01/2006,10267.7,9850.6,7845.6,293835,True,False,False,False,False,False,False,False,"(41.891665, -87.628021)"
9671,41660,Lake/State,09/01/2006,12585.4,7463.8,4978.0,313916,True,False,False,False,False,False,False,False,"(41.884809, -87.627813)"
9672,40500,Washington/State,09/01/2006,8876.9,4696.2,2943.0,215734,,,,,,,,,
9673,41090,Monroe/State,09/01/2006,6912.4,3478.8,2123.6,166260,True,False,False,False,False,False,False,False,"(41.880745, -87.627696)"
9674,40560,Jackson/State,09/01/2006,11694.5,4751.2,3197.0,273631,True,False,False,False,False,False,False,False,"(41.878153, -87.627596)"
9675,41490,Harrison,09/01/2006,4276.9,3343.0,2192.6,113215,True,False,False,False,False,False,False,False,"(41.874039, -87.627479)"
9676,41400,Roosevelt,09/01/2006,8697.6,6684.4,5548.4,235115,False,False,True,False,False,False,False,True,"(41.867405, -87.62659)"
9677,41000,Cermak-Chinatown,09/01/2006,4231.7,4142.2,3044.4,120567,True,False,False,False,False,False,False,False,"(41.853206, -87.630968)"
9678,40190,Sox-35th-Dan Ryan,09/01/2006,5355.1,3601.2,2581.8,138017,True,False,False,False,False,False,False,False,"(41.831191, -87.630636)"
9679,41230,47th-Dan Ryan,09/01/2006,3142.4,2020.6,1424.0,80070,True,False,False,False,False,False,False,False,"(41.810318, -87.63094)"
9680,41170,Garfield-Dan Ryan,09/01/2006,4308.1,2869.0,2025.6,110634,True,False,False,False,False,False,False,False,"(41.79542, -87.631157)"
9681,40910,63rd-Dan Ryan,09/01/2006,3337.3,2269.6,1786.8,87028,True,False,False,False,False,False,False,False,"(41.780536, -87.630952)"
9682,40990,69th,09/01/2006,6506.9,4209.8,2926.0,165817,True,False,False,False,False,False,False,False,"(41.768367, -87.625724)"
9683,40240,79th,09/01/2006,8256.8,5407.2,3771.2,211027,True,False,False,False,False,False,False,False,"(41.750419, -87.625112)"
